,1980,1985,1990,1995,2000,2008,2009,2010,2011,2012,2013,2014,2015,2018
Israel,5.5,5.9,7.8,9.2,9.6,9.3,8.6,9.0,8.9,9.5,8.3,7.9,8.3,7.9
Italy,6.9,6.6,7.4,7.6,7.9,7.6,6.8,6.8,6.7,6.2,5.7,5.3,6.0,5.8
Jamaica,3.9,2.2,3.1,3.6,3.9,3.7,2.8,2.6,2.8,2.6,2.8,2.6,2.6,2.7
Japan,8.1,7.6,8.9,9.4,9.6,9.4,8.6,9.1,9.3,9.6,9.8,9.5,9.6,9.4
Jordan,2.0,2.9,2.9,3.0,3.0,3.3,3.2,2.9,2.9,3.1,2.9,3.0,2.8,2.6
Kazakhstan,..,..,..,10.7,7.9,14.9,13.3,15.2,15.6,14.5,15.4,14.4,14.6,16.8
Kenya,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
Kiribati,0.5,0.3,0.3,0.4,0.3,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.3,0.3
North Korea,..,..,6.5,..,3.0,2.9,2.9,2.7,1.9,2.0,1.4,1.6,1.0,1.2
South Korea,3.5,4.4,5.8,8.3,9.5,10.3,10.3,11.4,11.8,11.6,11.7,11.6,12.6,13.6
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,5.7,..
Kuwait,18.0,16.8,24.3,34.0,26.1,31.2,31.0,29.9,28.5,30.1,27.3,25.2,24.3,23.9
Kyrgyzstan,..,..,..,1.0,0.9,1.4,1.3,1.2,1.4,1.8,1.7,1.6,1.8,1.7
Laos,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.4,0.5
Latvia,..,..,..,3.8,2.7,3.6,3.4,3.8,3.5,3.5,3.5,3.5,3.9,4.1
Lebanon,2.4,3.0,3.0,4.5,4.7,4.2,5.0,4.6,4.5,4.6,4.3,4.3,4.3,4.2
Lesotho,..,..,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.1,1.2,0.3,0.3
Liberia,1.1,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Libya,8.4,8.1,8.3,9.3,8.8,9.3,9.5,10.0,6.4,8.5,9.1,9.2,8.3,8.7
Liechtenstein,..,..,..,..,..,1.8,1.4,1.5,1.3,1.3,1.4,1.2,..,..
Lithuania,..,..,..,4.5,3.5,4.7,4.0,4.3,4.6,4.6,4.3,4.4,4.6,5.0
Luxembourg,30.3,25.0,26.2,20.4,18.9,22.4,20.9,21.6,21.1,20.1,18.5,17.4,16.5,16.9
Macau,2.2,2.6,3.0,3.2,3.8,2.6,3.9,2.6,2.6,2.3,2.1,2.2,1.8,2.0
North Macedonia,..,..,..,5.5,5.9,4.5,4.2,4.2,4.5,4.3,3.8,3.6,3.8,3.9
Madagascar,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,02.,0.2
Malawi,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Malaysia,2.0,2.3,3.1,5.9,5.4,7.5,7.2,7.8,7.7,7.5,8.0,8.0,8.1,8.0
Maldives,0.3,0.3,0.8,1.0,1.6,2.4,2.5,2.6,2.6,2.9,2.7,3.3,2.0,2.0
Mali,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Malta,3.2,3.6,6.1,5.6,5.3,6.3,5.8,6.2,6.1,6.4,5.5,5.4,4.0,3.5
Marshall Islands,..,..,1.0,1.3,1.5,1.9,2.0,2.0,2.0,1.9,1.9,1.9,..,..
Martinique,..,..,2.6,..,..,..,..,..,..,..,..,..,6.1,6.4
Mauritania,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7
Mauritius,0.6,0.7,1.4,1.6,2.3,3.0,3.0,3.1,3.1,3.2,3.2,3.4,3.2,3.5
Mexico,3.9,3.7,3.7,3.5,3.9,4.3,4.1,4.0,4.1,4.1,4.0,3.9,3.9,3.8
Federated States of Micronesia,..,..,..,1.0,1.2,1.1,1.6,1.1,1.2,1.3,1.4,1.4,..,..
Moldova,..,..,..,3.0,1.0,1.3,1.3,1.4,1.4,1.4,1.4,1.4,2.0,2.1
Monaco,..,..,..,..,..,2.8,..,..,..,..,..,..,5.0,5.0
Mongolia,4.1,4.7,4.6,3.4,3.1,4.6,4.9,5.1,7.8,9.3,13.5,7.1,5.8,6.3
Montenegro,..,..,..,..,..,4.5,3.0,4.2,4.1,3.8,3.6,3.6,6.0,6.3
Morocco,0.8,0.8,0.9,1.1,1.2,1.7,1.6,1.7,1.8,1.9,1.7,1.7,1.8,1.9
Mozambique,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3
Myanmar,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.5,0.6
Namibia,..,..,0.0,1.0,0.9,1.6,1.4,1.4,1.3,1.5,1.1,1.6,1.7,1.7
Nauru,16.7,15.3,13.6,10.7,8.4,4.4,4.1,4.4,4.0,3.9,4.1,4.0,..,..
Nepal,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
Netherlands,12.5,10.2,10.6,11.6,10.9,10.8,10.4,11.0,10.4,10.2,10.3,9.9,10.0,9.5
New Caledonia,14.3,9.4,9.3,10.7,10.5,11.8,12.1,14.2,14.3,14.0,16.1,16.0,18.7,26.2
New Zealand,5.6,6.7,7.1,7.4,8.5,8.0,7.5,7.3,7.2,7.7,7.5,7.7,7.8,7.7
Nicaragua,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.0
Niger,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nigeria,0.9,0.8,0.4,0.3,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6
Norway,9.3,9.8,7.4,7.7,8.8,11.7,11.5,12.3,9.1,9.9,11.5,9.3,8.8,9.4
Oman,5.2,5.8,6.3,7.2,9.7,15.5,14.3,15.6,16.7,17.1,16.5,15.4,18.8,17.6
Pakistan,0.4,0.5,0.6,0.7,0.8,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,1.0
Palau,12.9,11.8,15.6,13.6,13.0,12.5,12.1,12.4,12.3,12.2,12.3,12.3,56.1,58.0
Panama,1.6,1.2,1.1,1.1,1.9,2.1,2.4,2.5,2.7,2.7,2.8,2.3,2.9,2.8
Papua New Guinea,0.6,0.6,0.5,0.4,0.5,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.5,0.5
